Gene,Rule
UGDH,(NOT PPARA)
PRODH,(PPARG) OR (TP53)
NPC1L1,(PPARA) OR (PPARGC1A)
GPX2,(TP53)
MAP3K14,(NOT PPARG) AND (TP53)
GCK,(FOXO1) OR (PPARG)
ACADM,(PPARA)
BCO1,(PPARG) OR (PPARA)
FGFR1,(TP53) OR (FOXO3)
ABCC8,(FOXO3)
NTRK1,(TP53)
DUSP4,(TP53) AND (NOT FOXO1)
ABCG2,(PPARA OR PPARG) AND (NOT TP53)
B3GAT3,(TP53)
ACMSD,(NOT PPARA)
ACOX1,(PPARA)
CSNK2A2,(TP53)
TRIB3,(PPARA) OR (PPARGC1A)
SOD1,(PPARG) OR (FOXO3)
CES2,(TP53)
CDC25A,(NOT TP53)
LOX,(TP53)
ABCA1,(PPARA) OR (PPARG)
ODC1,(TP53)
MAP3K11,(TP53)
SLC1A2,(PPARG)
SLC1A3,(PPARG)
NAMPT,(PPARG) OR (PPARA)
CDC42BPA,(TP53)
ROCK1,(TP53)
CYP2C9,(NOT PPARA) AND (PPARGC1A)
CYP4A11,(PPARA)
HMOX1,(PPARA) OR (PPARG) OR (TP53) OR (FOXO1) OR (PPARGC1A)
GYS2,(PPARG) OR (PPARA)
CIDEA,(PPARA) OR (PPARG)
SETD7,(TP53)
STUB1,(TP53)
PDK1,(NOT PPARA) AND (TP53)
PDK2,(PPARA) AND (NOT PPARG)
PDK3,(PPARA)
GLB1,(TP53)
PRKAA1,(FOXO3) OR (PPARA)
PTK2,(TP53)
PNPLA2,(PPARG) OR (FOXO1)
CTSL,(TP53) OR (FOXO1) OR (PPARG) OR (PPARA) OR (FOXO3)
DLST,(TP53)
GALT,(FOXO3)
UBE2B,(TP53)
PRDX3,(FOXO3)
B4GALT5,(TP53)
PIK3CA,(NOT TP53) AND (FOXO3)
ETFDH,(PPARA)
MGLL,(PPARA)
DYRK2,(TP53)
FTH1,(TP53)
SDC1,(PPARG) OR (PPARA)
ATM,(FOXO3)
CYLD,(FOXO3)
GPT,(PPARA)
GPT2,(PPARA)
DAD1,(TP53)
CDK5,(TP53)
PADI4,(TP53)
