LipidGroup,BH1,BH2,BH3,BH4,BN2,BN3,BN5,BN6,CH1,CH2,CH3,CH5,CN1,CN2,CN3,CN5
DG(12:0)+NH4,2750606.895,2341143.842,4678349.035,2020660.791,1717284.848,1498473.767,826316.7663,863489.4993,1418371,2474757.724,19022927.29,1763078.541,1631534.293,1027044.497,4880709.261,5383987.72
DG(12:0)+NH4,1523665.83,1625344.372,1158075.043,2241451,670705.0908,710504.7537,113178.525,2544749.544,259350.6111,4589395.521,2341158.547,5370329.131,2236064.598,3851756.575,476996.5968,5072684.173
DG(12:0)+NH4,2626977.536,2900211.088,4853108.961,7537007.912,3851716.18,31790003.57,3224823.427,78141482.3,2156956.026,58511751.89,5474974.201,2086397.506,1663629.309,59909839.35,3565488.068,3788114.805
DG(12:0)+NH4,3954294.284,4778029.897,1308673.033,1331869.08,780305.7243,3388898.885,2331013.057,1549053.689,3299297.483,37098231.37,528682455,5815964.017,2712641.86,217802.4036,2443341.897,1357101.676
DG(12:0)+NH4,5405563.288,2819497.94,626094.1845,2765413.09,947709.663,2302125.94,3270319.022,6672974.254,3441111.206,2143066.802,3698507.807,3827530.396,990456.8148,5270353.543,2539020.807,3713042.012
DG(12:0)+NH4,483380.289,7378224.158,498294.3765,3003608.071,2985138.191,7085501.814,2764780.345,1179787.611,2703092.57,7696467.13,1782340.699,2717696.339,2221609.873,687778.1424,4991881.993,1333675.129
DG(12:0)+NH4,4582970.519,1661651.609,4071613.245,1641197.224,6765141.311,1496199.532,1924145.613,12977358.48,81222910.88,3392798.072,1627623.301,2548172.167,23165387.02,256003.1082,9544863.268,6391079.713
DG(12:0)+NH4,1153574.355,3172166.942,3537027.113,11274804.73,1275310.138,2462793.05,1338546.911,3621505.241,9823804.612,3051059.364,2154083.14,20785648.68,1261471.489,3201490.41,871522.5153,4742514.331
DG(12:0)+NH4,15269353.52,3970269.804,2492317.651,11614732.17,5240113.476,11142987.84,4343454.905,2892757.894,22997245,14665250.22,16880747.29,4675318.182,18479707.01,13196120.36,1468493.091,18832644.1
DG(12:0)+NH4,1856518.225,3098673.385,3042222.941,2229600.199,11765524.16,5831573.185,2026322.671,3394584.175,29130445.44,2777091.464,40799335.37,739468.9182,6673661.932,2522197.54,5548262.053,3458330.396
