taxonID,V3_C005,V3_C009,V3_C010,V3_C016,V3_C018,V3_C019,V3_C100,V3_C101,V3_C105,V3_C106,V3_C110,V3_C111,V3_C112,V3_C113,V3_C114,V3_C117,V3_C119,V3_C120,V4_C005,V4_C009,V4_C010,V4_C016,V4_C018,V4_C019,V4_C100,V4_C101,V4_C105,V4_C106,V4_C110,V4_C111,V4_C112,V4_C113,V4_C114,V4_C117,V4_C119,V4_C120,V5_C005,V5_C009,V5_C010,V5_C018,V5_C019,V5_C100,V5_C101,V5_C105,V5_C106,V5_C110,V5_C111,V5_C112,V5_C113,V5_C114,V5_C117,V5_C119,V5_C120,V6_C005,V6_C009,V6_C010,V6_C016,V6_C018,V6_C019,V6_C100,V6_C101,V6_C105,V6_C106,V6_C110,V6_C111,V6_C112,V6_C113,V6_C114,V6_C117,V6_C119,V6_C120
taxid_358742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,171,0,1,1723,0,90,0,4,0,1,4,2,0,0,5,0,547,3228,2883,16,2,31,3165,1984,70,2081,4009,2976,23,2652,1850,1306,15,4
taxid_1318,1648,4,68,158,0,329,510,1,0,3,193,364,293,417,1,7,0,98,2040,912,28,894,5,660,89,525,50,7,155,110,7,3385,124,181,148,0,3,83,34,1,848,21,741,0,689,50,67,5946,1721,94,401,242,0,5,478,2,25,0,1626,24,0,39,1298,16,91,3,107,529,127,5,0
taxid_84112,0,0,0,0,0,0,0,0,102,37,21,1,846,0,0,717,0,0,394,0,0,0,0,0,0,0,0,136,0,159,65,0,84,1899,5,0,1259,0,0,3,0,467,59,2947,247,0,107,74,0,108,32,59,0,1372,813,860,1409,3,3,893,1578,1458,74,0,1605,2028,1020,1581,2119,39,1894
taxid_208479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,5,4,100,0,50,0,18,0,0,590,5,1,0,8,0,3463,5226,220,32,1320,1048,1928,1315,32,9,219,54,273,5505,5136,1485,143,46
taxid_1351,1520,1989,3,1,0,120,1,55,253,0,668,1,1,0,0,1290,203,113,1791,9,0,10,0,2,120,1059,77,1234,0,1,485,4018,6,232,97,0,0,89,3181,1444,774,616,133,1330,4,40,13,821,7,685,0,86,648,2,5,1414,34,3,674,4,0,5,7,2,10,9,6,3,3,4,3
taxid_853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,4,40,0,0,1,10,0,24,0,27,0,8,1,0,446,4,3,0,16,0,40,9,26,6085,5667,1252,450,1596,44,10,6,961,7666,44,1915,427,46,289
taxid_29465,1,1,0,0,0,86,0,0,0,22,674,0,5,0,0,0,1,0,315,2,1848,468,4,624,0,887,210,284,2,64,17,468,12,553,34,3,9,16,92,1481,3863,210,131,564,289,1769,442,1631,601,19,728,2,299,3,397,9,12,54,401,286,66,1301,471,2625,235,186,14,161,4,63,253
taxid_29466,0,0,0,0,0,78,0,0,0,3,219,0,0,0,0,0,2,0,24,0,2542,997,0,662,0,317,24,18,0,128,1,1140,4,40,384,1,2,27,397,2319,2677,286,21,1424,156,2388,1202,416,60,1,39,1,1116,2,292,36,29,8,774,108,20,221,475,3126,90,101,1,45,0,77,386
taxid_1279,101,481,1209,1142,588,3797,161,2079,940,924,2451,254,330,1859,0,5,0,226,1005,815,0,125,25,2281,901,4,631,168,1,28,1272,120,9,2,23,8,9,341,1,3,9,0,121,0,5,29,0,2,3,1,0,3,0,2,7,3,0,6,9,0,1,0,0,4,0,1,0,1,1,3,0
taxid_39777,0,0,0,0,0,3,0,0,0,3,16,0,0,0,0,0,0,0,1001,0,32,18,0,118,0,2510,194,641,0,3,12,11,123,927,1,0,0,0,3,19,2880,2,34,824,709,307,6,3524,838,15,1996,0,7,0,63,1,0,7,73,108,11,1408,525,1536,505,78,1,65,1,23,8
taxid_39778,0,0,0,0,0,34,0,0,1,25,544,0,2,0,0,0,0,0,35,0,18,67,0,1111,0,70,437,107,0,2,0,21,6,1005,6,0,12,0,1,55,5199,8,353,29,20,899,19,299,829,10,648,2,14,2,824,10,1,19,329,1185,96,1635,671,1939,623,452,3,608,2,11,6
taxid_1485,0,1,0,0,0,6,0,0,0,0,0,0,30,0,0,0,0,0,0,17,0,42,0,175,6,6,0,0,0,0,118,67,16,39,35,0,1812,20,1041,522,828,0,100,13,26,0,7,65,14,608,1,131,0,64,2009,561,49,1033,1045,953,1873,761,195,710,623,2325,271,967,566,141,75
taxid_128827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,92,615,11,74,15,0,391,0,9,15,801,1,0,11,0,266,182,256,561,608,775,762,205,1597,1586,392,3439,61,1399,1781,705,251,1873
taxid_28037,919,3,44,1164,35,1326,423,22,10,12,1806,101,272,954,4,2,2,1123,4,476,1,1146,181,461,1606,0,896,22,4,14,44,51,11,1,6,0,77,1131,4,7,1202,0,1,0,98,128,14,17,50,7,522,13,1,454,639,58,5,24,247,4,1,6,188,22,3,0,39,35,5,3,0
taxid_821,156,170,1137,8,1293,0,539,0,107,112,1374,173,7,0,0,261,2,0,171,149,491,1,95,2,253,0,25,295,0,259,1,0,0,660,7,1,486,0,212,1,0,296,0,58,123,0,1807,1,42,0,167,0,0,249,1,216,46,11,8,780,14,1883,0,322,1719,2,49,253,294,31,1304
taxid_1496,1,0,0,1,1,7,1,2,1,0,2,3,12,0,0,0,0,0,2,0,1,0,0,73,6,2,1,0,0,0,10,6,0,2,15,0,9,12,2612,76,198,12,1820,0,22,0,3,67,2246,10,2,31,0,147,3766,1516,87,234,572,133,151,799,117,163,158,160,243,315,188,1623,108
taxid_1502,138,0,0,0,0,2,0,0,0,0,0,0,265,0,0,0,0,0,0,2467,1,826,0,26,117,184,0,193,0,0,19,165,0,0,2,0,6,3,2268,29,3150,0,2518,0,0,0,0,2,1,3,2,3,24,1,149,12,0,84,4060,4,4,53,12,35,6,34,10,11,10,4,8
taxid_1678,17,0,10,1,266,53,0,0,483,0,729,153,21,0,0,20,6,0,17,54,11,52,106,9,0,25,24,20,100,115,95,67,120,769,193,73,193,3,89,417,72,44,20,150,78,199,683,1196,134,1337,236,54,103,177,12,380,493,779,217,239,96,280,468,294,1893,456,38,598,854,93,880
taxid_84111,0,0,0,0,0,0,0,0,24,2,35,0,740,0,0,198,0,0,37,0,0,0,0,0,0,0,0,20,0,44,21,0,14,852,2,0,1259,0,0,0,0,206,18,2137,78,0,11,27,0,13,31,13,0,1616,714,1442,1590,5,0,255,462,1483,17,0,733,549,259,446,1110,9,380
taxid_2292372,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,292,0,5,1,0,0,0,7,0,3,0,4,0,7,1,0,4,5,2626,6,4918,1679,4,2,13,583,11,2207,20,5,2867
taxid_35833,82,0,0,0,0,0,0,0,0,0,0,2394,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346,0,0,0,0,0,0,2831,0,0,0,0,0,0,1345,0,0,0,2934,0,0,3,0,1314,1123
taxid_1720194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,63,0,169,0,1,184,60,3,0,81,0,91,79,2,486,95,1180,2192,2230,653,61,101,591,510,240,723,2772,511,1854
taxid_561,0,19,11,0,52,15,0,0,46,2,40,3,10,0,5,0,2,0,2,12,11,0,44,4,0,489,9,13,201,362,22,21,55,72,282,1,47,64,198,2335,1,4,38,13,11,142,386,320,894,443,8,744,12,5,14,92,264,132,2073,192,439,67,49,2341,176,7,99,501,0,99,247
